resume_id,resume_role,resume_text,job_id,job_role,job_text,label
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R12,PM,"Technical PM with background in backend systems, API design, and feature planning for B2B platforms.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R13,ML,"NLP engineer with experience in sentiment analysis, topic modeling, embeddings, and fine-tuning language models.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R14,SWE,"Java developer with strong OOP skills, multithreading, caching layers, and API development.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R15,DS,"Data scientist focused on churn prediction, segmentation models, time series forecasting, and business insights.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
